UserPrincipalName,ExtensionAttribute1,ExtensionAttribute2
abdul.rasheed@cloudschool.ink,DeptHead,Operations
aishwarya.pillai@cloudschool.ink,ClassTeacher,Grade5B
ajith.kumar@cloudschool.ink,DeptHead,Lab
akhil.raj@cloudschool.ink,Staff,IT
amal.joseph@cloudschool.ink,DeptHead,Administration
ananya.krishnan@cloudschool.ink,ClassTeacher,Grade2C
anitha.menon@cloudschool.ink,Principal,Management
anjali.sreenivasan@cloudschool.ink,Staff,Sports
aparna.rajan@cloudschool.ink,GradeCoordinator,Grade3A
arun.nambiar@cloudschool.ink,GradeCoordinator,Grade1A
asha.ramesh@cloudschool.ink,GradeCoordinator,Grade5A
basheer.ahmed@cloudschool.ink,DeptHead,Transport
deepa.varma@cloudschool.ink,HeadOfAdministration,Management
dinesh.kumar@cloudschool.ink,Staff,Library
divya.prasad@cloudschool.ink,ClassTeacher,Grade1B
farzana.ali@cloudschool.ink,DeptHead,Medical
fathima.rahman@cloudschool.ink,ClassTeacher,Grade6C
hari.prakash@cloudschool.ink,Staff,Lab
harish.rangan@cloudschool.ink,DeptHead,Accounts
jincy.thomas@cloudschool.ink,Staff,Lab
jithin.varghese@cloudschool.ink,DeptHead,StudentSupport
joel.mathew@cloudschool.ink,Staff,IT
kavya.suresh@cloudschool.ink,ClassTeacher,Grade2B
keerthi.pillai@cloudschool.ink,ClassTeacher,Grade4B
latha.krishnan@cloudschool.ink,DeptHead,HR
leena.mathew@cloudschool.ink,Staff,Medical
manu.narayanan@cloudschool.ink,GradeCoordinator,Grade2A
meera.sanjay@cloudschool.ink,Staff,IT
mithun.raj@cloudschool.ink,DeptHead,Activities
naveen.das@cloudschool.ink,Staff,Transport
neethu.thomas@cloudschool.ink,GradeCoordinator,Grade6A
nisha.babu@cloudschool.ink,Staff,Accounts
praveen.nair@cloudschool.ink,DeptHead,Sports
preethi.nair@cloudschool.ink,ClassTeacher,Grade1C
priya.mohan@cloudschool.ink,Staff,HR
rahul.dev@cloudschool.ink,Staff,IT
rajeev.nair@cloudschool.ink,VicePrincipal,Management
rakesh.sharma@cloudschool.ink,GradeCoordinator,Grade4A
rekha.nair@cloudschool.ink,Staff,Accounts
reshma.nair@cloudschool.ink,ClassTeacher,Grade3B
riya.george@cloudschool.ink,Staff,StudentSupport
riyaz.khan@cloudschool.ink,Staff,Sports
roshan.mathew@cloudschool.ink,ClassTeacher,Grade3C
santhosh.menon@cloudschool.ink,Staff,Accounts
shalini.krishnan@cloudschool.ink,SchoolCounsellorHead,Management
shruthi.nair@cloudschool.ink,ClassTeacher,Grade6B
sidharth.menon@cloudschool.ink,ClassTeacher,Grade4C
sneha.iyer@cloudschool.ink,DeptHead,Library
sunil.kumar@cloudschool.ink,Staff,Transport
suresh.pillai@cloudschool.ink,ChiefAcademicOfficer,Management
swetha.balakrishnan@cloudschool.ink,ClassTeacher,Grade5C
thomas.antony@cloudschool.ink,Staff,Operations
vinod.kumar@cloudschool.ink,Staff,Operations
vishnu.prakash@cloudschool.ink,Staff,IT
vivek.menon@cloudschool.ink,Staff,IT
