"UserPrincipalName","DisplayName","GivenName","Surname","MailNickname","Department","EmployeeType","UsageLocation","ExtensionAttribute1","ExtensionAttribute2"
"abdul.rasheed@cloudschool.ink","Mr. Abdul Rasheed","Abdul","Rasheed","abdul.rasheed","Operations","Staff","AE","",""
"aishwarya.pillai@cloudschool.ink","Ms. Aishwarya Pillai","Aishwarya","Pillai","aishwarya.pillai","Activities","Staff","AE","",""
"ajith.kumar@cloudschool.ink","Mr. Ajith Kumar","Ajith","Kumar","ajith.kumar","Lab","Staff","AE","",""
"akhil.raj@cloudschool.ink","Mr. Akhil Raj","Akhil","Raj","akhil.raj","IT","Staff","AE","",""
"amal.joseph@cloudschool.ink","Mr. Amal Joseph","Amal","Joseph","amal.joseph","Administration","Staff","AE","",""
"ananya.krishnan@cloudschool.ink","Ms. Ananya Krishnan","Ananya","Krishnan","ananya.krishnan","Academics","Staff","AE","",""
"anitha.menon@cloudschool.ink","Dr. Anitha Menon","Anitha","Menon","anitha.menon","Management","Staff","AE","",""
"anjali.sreenivasan@cloudschool.ink","Ms. Anjali Sreenivasan","Anjali","Sreenivasan","anjali.sreenivasan","Sports","Staff","AE","",""
"aparna.rajan@cloudschool.ink","Ms. Aparna Rajan","Aparna","Rajan","aparna.rajan","Academics","Staff","AE","",""
"arun.nambiar@cloudschool.ink","Mr. Arun Nambiar","Arun","Nambiar","arun.nambiar","Academics","Staff","AE","",""
"asha.ramesh@cloudschool.ink","Ms. Asha Ramesh","Asha","Ramesh","asha.ramesh","Administration","Staff","AE","",""
"basheer.ahmed@cloudschool.ink","Mr. Basheer Ahmed","Basheer","Ahmed","basheer.ahmed","Transport","Staff","AE","",""
"deepa.varma@cloudschool.ink","Ms. Deepa Varma","Deepa","Varma","deepa.varma","Management","Staff","AE","",""
"dinesh.kumar@cloudschool.ink","Mr. Dinesh Kumar","Dinesh","Kumar","dinesh.kumar","Library","Staff","AE","",""
"divya.prasad@cloudschool.ink","Ms. Divya Prasad","Divya","Prasad","divya.prasad","Academics","Staff","AE","",""
