"UserPrincipalName","DisplayName","GivenName","Surname","MailNickname","Department","EmployeeType","UsageLocation","ExtensionAttribute1","ExtensionAttribute2"
"std01a001@cloudschool.ink","Albin D'Souza","Albin","D'Souza","std01a001","Grade1","Student","AE","Grade01","DivisionA"
"std01a002@cloudschool.ink","Tejas Iyer","Tejas","Iyer","std01a002","Grade1","Student","AE","Grade01","DivisionA"
"std01a003@cloudschool.ink","Mukesh Mishra","Mukesh","Mishra","std01a003","Grade1","Student","AE","Grade01","DivisionA"
"std01a004@cloudschool.ink","Deepak Thomas","Deepak","Thomas","std01a004","Grade1","Student","AE","Grade01","DivisionA"
"std01a005@cloudschool.ink","Thomas Iyer","Thomas","Iyer","std01a005","Grade1","Student","AE","Grade01","DivisionA"
"std01a006@cloudschool.ink","Sreelakshmi Pillai","Sreelakshmi","Pillai","std01a006","Grade1","Student","AE","Grade01","DivisionA"
"std01a007@cloudschool.ink","Latha D'Souza","Latha","D'Souza","std01a007","Grade1","Student","AE","Grade01","DivisionA"
"std01a008@cloudschool.ink","Parth Malhotra","Parth","Malhotra","std01a008","Grade1","Student","AE","Grade01","DivisionA"
"std01a009@cloudschool.ink","Rekha Fernandes","Rekha","Fernandes","std01a009","Grade1","Student","AE","Grade01","DivisionA"
"std01a010@cloudschool.ink","Varun Arora","Varun","Arora","std01a010","Grade1","Student","AE","Grade01","DivisionA"
"std01a011@cloudschool.ink","Meera Thakur","Meera","Thakur","std01a011","Grade1","Student","AE","Grade01","DivisionA"
"std01a012@cloudschool.ink","Ranjith Roy","Ranjith","Roy","std01a012","Grade1","Student","AE","Grade01","DivisionA"
"std01a013@cloudschool.ink","Sathish Chavan","Sathish","Chavan","std01a013","Grade1","Student","AE","Grade01","DivisionA"
"std01a014@cloudschool.ink","Rashmi Chauhan","Rashmi","Chauhan","std01a014","Grade1","Student","AE","Grade01","DivisionA"
"std01a015@cloudschool.ink","Nisha Gowda","Nisha","Gowda","std01a015","Grade1","Student","AE","Grade01","DivisionA"
"std01a016@cloudschool.ink","Rohan Nambiar","Rohan","Nambiar","std01a016","Grade1","Student","AE","Grade01","DivisionA"
"std01a017@cloudschool.ink","Naveen Chauhan","Naveen","Chauhan","std01a017","Grade1","Student","AE","Grade01","DivisionA"
